date,tweet,hashtags
2020-09-28,"Trump will be providing an update on the United States' coronavirus testing strategy

https://t.co/9UhOVhweQs",[]
2020-09-28,"WATCH LIVE: World Health Organization provides update on global COVID-19 crisis

https://t.co/BM4z86VaE4",[]
2020-09-28,"Ontario is reporting 700 new coronavirus cases on Monday, marking a new record for the highest single-day case count ever recorded in the province.

https://t.co/EZYV2irDiE",[]
2020-09-28,"Quebec is expected to move Montreal and Quebec City into the red zone of its novel coronavirus alert system on Monday.

https://t.co/S54onebWn0",[]
2020-09-28,"The new COVID-19 relief measures set up a replacement for the Canada Emergency Response Benefit.

https://t.co/4VnKS6J0Tp",[]
2020-09-28,"The longer the pandemic continues, the more desensitized people become to new case numbers, warns one psychology professor.

https://t.co/mkqD0N0Dee",[]
2020-09-28,"It’s still not completely known if COVID-19 can spread more easily in cold air, but studies have started looking into it.

https://t.co/r0CJCh2Rme",[]
2020-09-27,"Insurers are beginning to offer COVID-19 coverage to Canadian travellers despite there being a travel advisory in place to avoid all non-essential travel outside of the country.

Would you purchase COVID-19 insurance for an out-of-province trip?

More: https://t.co/tbxuspQufH",[]
2020-09-27,"On Friday, Canada surpassed 150,000 confirmed cases of the novel coronavirus.

Do you think enough is being done to slow the spread of COVID-19 across Canada?

Read more: https://t.co/BVPS5XV68i",[]
2020-09-27,"Your #CoronavirusPandemic update:

🇨🇦Canada has a goal to double its coronavirus testing capacity

📈Almost 1 million have died from coronavirus

🐕Finland deploys COVID-19 sniffer dogs at airport

More: https://t.co/aDzRqu59MW https://t.co/NzCgrBJEPb",['coronaviruspandemic']
2020-09-27,"Through desperate efforts to save their lives, scientists now better understand how to treat and prevent COVID-19 — and millions of others may survive.

https://t.co/syp0FSzoZf",[]
2020-09-27,"Canada is working on expanding its coronavirus testing capacity so that — if necessary — up to 200,000 people could be tested per day. https://t.co/NZFTv23YFC",[]
2020-09-27,"“This is spending that will come to an end when the coronavirus is defeated, and I actually have a lot of confidence that is going to happen and that it is not years away,” Chrystia Freeland said. 

https://t.co/6ln58qDgbW",[]
2020-09-27,"Trump has repeatedly claimed that the use of mail-in ballots amid the novel coronavirus pandemic will result in a “rigged election,” despite experts saying the practice is safe.

https://t.co/MdCfcJsHuZ",[]
2020-09-27,"Ontario reported 491 new cases of COVID-19 on Sunday, the biggest single-day increase since May.

https://t.co/jQRfHgr6QK",[]
2020-09-27,"Authorities warned Manaus residents they were ignoring the virus and risked a second wave of contagion by not wearing masks, packing into bars and attending parties.

https://t.co/v5nm725Wjc",[]
2020-09-27,"The pandemic's patterns have changed in Canada since the spring.

https://t.co/E8aohk0f3r",[]
2020-09-27,"Researchers from the University of California suggest that mask-wearing could also reduce the severity of COVID-19 infections, leading to more asymptomatic cases.

https://t.co/574sYeaEjO",[]
2020-09-26,"COVID Alert has been touted by federal ministers and public health officials as a powerful tool to slow the spread of the virus in Canada.

https://t.co/RqtSXNaJuc",[]
2020-09-26,"Canada shut its borders in March as part of a series of measures to control the spread of COVID-19, allowing only Canadians and landed immigrants into the country as well as foreign nationals.

https://t.co/a8YX3Iee0f",[]
2020-09-26,"This week, schools in British Columbia removed a number of common cold symptoms such as runny noses and sore throats from its coronavirus checklists, saying those symptoms alone should not keep kids at home.

Do you agree with this decision?

Read more: https://t.co/fi9y2kYtBR",[]
2020-09-26,"As the number of COVID-19 infections continues to increase daily, Canada's chief public health officer Dr. Theresa Tam urged Canadians to increase protective measures against the virus.
https://t.co/Cto43oItVX",[]
2020-09-26,"As COVID-19 cases continue to increase across Canada, officials are urging Canadians to rethink their Thanksgiving plans this year.

Has the pandemic changed how you will be celebrating this year’s Thanksgiving?

Read more: https://t.co/NxtQDlo6wV",[]
2020-09-26,"Your #CoronavirusPandemic update:

💉Chinese officials push use of emergency coronavirus vaccine despite concerns

🇺🇸U.S. surpasses 7 million coronavirus cases

📈Quebec reports nearly 700 new cases

More: https://t.co/aDzRqu59MW https://t.co/NuKcQ7pvw3",['coronaviruspandemic']
2020-09-26,"Starting Monday, people in Winnipeg and 17 surrounding metropolitan communities are required to wear masks while in indoor public places as part of ratcheted-up public health restrictions.

https://t.co/xHDSxkMidI",[]
2020-09-25,"Your #CoronavirusPandemic update:

🇺🇸 U.S. surpasses 7 million coronavirus cases 

🇨🇦 Canada surpasses 150,000 coronavirus cases

😷Uber introduces new mask verification feature

More: https://t.co/aDzRqu59MW",['coronaviruspandemic']
2020-09-25,"Patio visits and group hangouts now leave many balancing the tolerance for risk and the desire to be social, which can make saying no to an invite during COVID-19 feel awkward.

https://t.co/H9P9aXakR4",[]
2020-09-25,"The coronavirus is continuing to mutate, and a recent study believes one of the lastest strains could be more contagious.

https://t.co/Sth1uO5a7H",[]
2020-09-25,Ottawa ran a $148.6-billion deficit during the first four months of the fiscal year due to unprecedented spending in response to the COVID-19 pandemic.  https://t.co/fBMzRDIYp9,[]
2020-09-25,"Masks will be mandatory at indoor public spaces in Winnipeg as of Monday.  

https://t.co/8Ib6cw1Vbf",[]
2020-09-25,"Selfie safety: Uber has introduced its new Rider Mask Verification feature in Canada and the U.S. 

https://t.co/a0Bj91zrCM",[]
2020-09-25,"The longer the pandemic goes on, the more desensitized people become to numbers, a psychology professor says. 

https://t.co/cdN5yxXqYn",[]
2020-09-25,"#BREAKING: Trudeau says Canada has signed a deal to obtain 20 million doses of another coronavirus vaccine candidate. 

https://t.co/7gQy9RsOZu",['breaking']
2020-09-25,"WATCH LIVE: Prime Minister Justin Trudeau to provide update on coronavirus pandemic. 

https://t.co/Q7ZBKVKtgu",[]
2020-09-25,"Erika Godin is worried that if she takes a placement at an Ottawa long-term care home needed to finish her nursing degree, she could end up exposing her at-risk son to COVID-19.

https://t.co/wd1Kcs27v0",[]
2020-09-25,"Ontario is reporting 409 new cases of COVID-19 on Friday, bringing the provincial total to 48,905. 

https://t.co/w3O1ystYKh",[]
2020-09-25,"WATCH LIVE: MPs debate throne speech, COVID-19 measures during today's Question Period at 11 a.m. ET.

https://t.co/E7PtZJdIWp",[]
2020-09-25,"A Toronto nurse who provided care for the first person to test positive for the novel coronavirus in Canada has opened up about the experience.
https://t.co/jp4K6PcGr2",[]
